PLANT_CODE,UTILITY_NAME,PLANT_NAME,STATE,COUNTY,STATE_COUNTY,LAT,LONG,STATUS,TECHNOLOGY,TOTAL_MW,OP2010,OP2011,OP2012,OP2013,OP2014,OP2015,OP2016,OP2017
10439,FPL Energy Operating Services Inc - SEGS,SEGS III - IX,CA,San Bernardino,CA_San Bernardino,35.01970000000,-117.49900000000,OP,Solar Thermal without Energy Storage,356.60000000000,Y,Y,Y,Y,Y,Y,Y,Y
56405,Acciona Solar Power,Nevada Solar One,NV,Clark,NV_Clark,35.79980000000,-114.98170000000,OP,Solar Thermal without Energy Storage,75.70000000000,Y,Y,Y,Y,Y,Y,Y,Y
57205,Copper Mountain 1 LLC,CM48,NV,Clark,NV_Clark,35.78140000000,-114.99330000000,OP,Solar Photovoltaic,48.00000000000,Y,Y,Y,Y,Y,Y,Y,Y
10437,"Sunray Energy 2, LLC",Sunray,CA,San Bernardino,CA_San Bernardino,34.86340000000,-116.82760000000,OP,Solar Photovoltaic,33.80000000000,N,N,N,N,N,N,N,Y
57243,Southern Power Co,Cimarron Solar Facility,NM,Colfax,NM_Colfax,36.46810000000,-104.63570000000,OP,Solar Photovoltaic,30.60000000000,Y,Y,Y,Y,Y,Y,Y,Y
56929,Florida Power & Light Co,DeSoto Next Generation Solar Energy,FL,DeSoto,FL_DeSoto,27.32320000000,-81.80190000000,OP,Solar Photovoltaic,25.00000000000,Y,Y,Y,Y,Y,Y,Y,Y
50765,Enel Stillwater LLC,Stillwater Facility,NV,Churchill,NV_Churchill,39.54750000000,-118.55560000000,OP,Solar Photovoltaic,22.00000000000,Y,Y,Y,Y,Y,Y,Y,Y
56939,NRG Solar Blythe,NRG Solar Blythe LLC,CA,Riverside,CA_Riverside,33.59170000000,-114.74440000000,OP,Solar Photovoltaic,21.00000000000,Y,Y,Y,Y,Y,Y,Y,Y
645,Tampa Electric Co,Big Bend,FL,Hillsborough,FL_Hillsborough,27.79440000000,-82.40360000000,OP,Solar Photovoltaic,23.00000000000,N,N,N,N,N,N,N,Y
57377,Greater Sandhill I LLC,Greater Sandhill I,CO,Alamosa,CO_Alamosa,37.68550000000,-105.89090000000,OP,Solar Photovoltaic,19.00000000000,Y,Y,Y,Y,Y,Y,Y,Y
